id,fake-company-name,description,tagline,company-email,ein
"1","Friesen, Douglas and Will","Digitized Client-Driven Internetsolution","Empower Viral Deliverables","kuhic.travon@conroy.org","67-3584120"
"2","Kerluke, Zieme and Runolfsdottir","Up-Sized Static Neural-Net","Extend Value-Added Eyeballs","hessel.elmo@harber.com","61-4855264"
"3","Larson-Schaden","Synergized Neutral Customerloyalty","Empower B2C Methodologies","gdicki@feil.com","36-1902603"
"4","Stanton Inc","Robust Leadingedge Installation","Engineer Web-Enabled E-Services","spinka.emmie@wiegand.com","87-6728859"
"5","Mann, Parker and Bailey","Stand-Alone Full-Range Benchmark","Embrace Interactive Infomediaries","selmer.stoltenberg@hill.com","64-5922830"
"6","Blick-Kihn","Adaptive Well-Modulated Collaboration","Reinvent Viral Content","vgleichner@trantow.com","51-7169028"
"7","Zulauf and Sons","Distributed Well-Modulated Projection","Visualize Dynamic Systems","ubaldo.grant@bartoletti.com","81-9468182"
"8","Hessel-Bode","Business-Focused Regional Matrix","Transform Cutting-Edge Methodologies","ntremblay@skiles.org","26-4286448"
"9","Mitchell PLC","Optimized Dynamic Intranet","Grow Bricks-And-Clicks E-Tailers","rafael06@schuppe.com","85-2908370"
"10","Wintheiser, Wehner and O'Keefe","Fundamental Zerodefect Installation","Benchmark Value-Added Architectures","karson.streich@murphy.com","90-8335294"
"11","Emard-Hoeger","Digitized 5Thgeneration Hardware","Implement Scalable Webservices","moses72@weissnat.com","01-3534877"
"12","Brown-Kihn","Progressive Explicit Portal","Transform Compelling Metrics","cremin.barney@pfannerstill.com","94-9998923"
"13","Gislason, Pfeffer and Cormier","Business-Focused 4Thgeneration Pricingstructure","Brand Magnetic Networks","jalon04@tremblay.com","46-5666430"
"14","Kiehn Inc","Innovative Demand-Driven Processimprovement","Facilitate Synergistic Supply-Chains","ines45@marks.com","82-5708546"
"15","Rolfson, Mills and McCullough","Cross-Platform Leadingedge Superstructure","Deploy Robust Bandwidth","abraham99@kozey.org","48-3704247"
"16","Osinski, Corwin and Walsh","Diverse Tangible Orchestration","Deliver Virtual Systems","garfield.daniel@hoppe.info","43-1804059"
"17","Gaylord, Hodkiewicz and Schroeder","Universal Attitude-Oriented Info-Mediaries","Envisioneer Revolutionary Synergies","sawayn.brody@buckridge.com","35-3739711"
"18","Leuschke-Casper","Stand-Alone Interactive Matrix","Recontextualize Intuitive E-Markets","brekke.carolyn@auer.com","85-8426102"
"19","Grant Ltd","Ergonomic Holistic Intranet","Facilitate Value-Added Architectures","veum.jevon@raynor.com","93-2376412"
"20","Schulist PLC","Front-Line Multi-State Synergy","Implement Real-Time Infrastructures","krystal.runte@herman.net","52-7074942"
"21","Friesen Group","Realigned Human-Resource Data-Warehouse","Visualize Turn-Key Systems","leonora.pagac@blanda.com","38-5458451"
"22","Littel, Muller and Ferry","Operative Zeroadministration Methodology","Incubate Distributed Applications","zbeahan@rau.com","65-8122455"
"23","Dibbert, Yost and Bode","Managed Mission-Critical Knowledgebase","Enhance Virtual Web-Readiness","cpfannerstill@glover.com","87-9714015"
"24","Cole-Emard","Open-Source Background Model","Reintermediate Transparent Bandwidth","wehner.kobe@dach.com","46-5143015"
"25","Muller-Bins","Polarised Radical Capacity","Productize Proactive Schemas","simeon06@goyette.org","93-8795707"
"26","Kutch-Hackett","Ameliorated Modular Moratorium","Transform Extensible Experiences","spencer.fleta@goldner.org","94-9807004"
"27","Rippin, Champlin and Durgan","Enterprise-Wide Dedicated Monitoring","Morph Strategic Initiatives","david31@lebsack.com","25-9570266"
"28","Towne, Wuckert and Waters","Enhanced Clear-Thinking Forecast","Iterate Mission-Critical Webservices","deonte69@dooley.com","38-4878129"
"29","Feil Inc","Visionary Hybrid Installation","E-Enable Turn-Key Communities","renner.zachary@hirthe.info","62-8718128"
"30","Ruecker-Bernhard","Grass-Roots Modular Database","Expedite Viral Partnerships","jordon.welch@dooley.com","80-7462981"
"31","Langworth, Kihn and Leannon","Multi-Layered Optimizing Extranet","Optimize User-Centric Paradigms","kassulke.helen@marvin.com","55-8585483"
"32","Marks-Gaylord","Operative Mission-Critical Openarchitecture","Syndicate Efficient Bandwidth","pouros.virgil@cassin.com","91-3763096"
"33","Streich, McGlynn and Johns","Cross-Platform Bottom-Line Parallelism","Scale Extensible Applications","liza.altenwerth@haag.org","86-4009107"
"34","Connelly PLC","User-Centric Value-Added Interface","Revolutionize Efficient Markets","weffertz@langosh.biz","52-4698189"
"35","Stracke, O'Keefe and Cruickshank","Open-Architected Interactive Infrastructure","Evolve Plug-And-Play Channels","coleman.romaguera@schmitt.org","87-3885922"
"36","West, Crona and Pfeffer","Stand-Alone Disintermediate Algorithm","Synthesize 24/365 Communities","jeff.bernhard@runolfsson.net","16-7705839"
"37","Beatty-Hoeger","Balanced Content-Based Product","Incentivize Strategic Synergies","richie.blick@gibson.org","73-8961509"
"38","Walker-Lemke","Inverse Asynchronous Graphicaluserinterface","Syndicate End-To-End Solutions","jett.botsford@feeney.info","76-5586613"
"39","Stokes-Turner","Virtual Local Hierarchy","Reintermediate Visionary Platforms","felipe47@rowe.com","88-9204677"
"40","Lubowitz-Spencer","Multi-Lateral Bi-Directional Openarchitecture","Incubate Sexy E-Business","swift.efren@braun.info","88-5111854"
"41","Schowalter-King","Horizontal Exuding Database","Drive Vertical Portals","kassulke.liliana@rohan.info","56-7968615"
"42","Bartell Inc","Total 4Thgeneration Middleware","Innovate Proactive Portals","ltorp@stamm.net","54-2873117"
"43","Daugherty, Schoen and Spencer","Automated Background Challenge","Generate Mission-Critical Solutions","monte25@maggio.com","62-6584688"
"44","Langosh, Gislason and Ebert","Inverse Demand-Driven Graphicaluserinterface","Harness Strategic Initiatives","gussie58@wolff.com","80-3952012"
"45","Mohr Inc","Adaptive Bandwidth-Monitored Concept","Architect Synergistic Users","jrippin@ortiz.com","15-9902987"
"46","Beer-Ernser","Synchronised User-Facing Pricingstructure","Strategize Granular Vortals","jamie07@stehr.biz","76-5972906"
"47","Metz, Hagenes and Ziemann","Public-Key Composite Website","Cultivate Integrated Applications","vhackett@daniel.com","66-7717472"
"48","Leuschke Inc","Operative Regional Implementation","Harness Robust Networks","tressa29@sipes.info","68-8703353"
"49","Berge LLC","Open-Source Intangible Toolset","Disintermediate Efficient Roi","reymundo68@mosciski.com","86-7260893"
"50","Feest-Haley","Reverse-Engineered Impactful Flexibility","Disintermediate Seamless Initiatives","bradley.cormier@hegmann.com","12-8936144"
"51","Harvey, Nitzsche and Lubowitz","Programmable Incremental Capability","Mesh Magnetic Web-Readiness","dmclaughlin@friesen.com","44-9571448"
"52","Anderson-Hamill","Total Leadingedge Function","Deploy Wireless E-Markets","levi.beer@johnston.com","46-7015816"
"53","Hartmann-Bosco","Team-Oriented Web-Enabled Openarchitecture","Incubate Wireless Portals","greenholt.taya@huels.com","98-3798265"
"54","Howell, Schroeder and Cummings","Secured Foreground Approach","Iterate Out-Of-The-Box Eyeballs","crosenbaum@schowalter.com","42-7619902"
"55","Hammes-Huel","Digitized 5Thgeneration Projection","Extend B2B Platforms","bjacobi@zulauf.com","53-6955705"
"56","Lang-Russel","Polarised Bottom-Line Solution","Architect Distributed E-Tailers","wilderman.rex@flatley.com","94-7392689"
"57","Herzog PLC","Exclusive Attitude-Oriented Hierarchy","Reinvent Revolutionary Vortals","kiarra88@maggio.com","04-3750469"
"58","Towne-Luettgen","De-Engineered Needs-Based Infrastructure","Exploit Viral Methodologies","izaiah36@ferry.com","52-7888387"
"59","Welch, King and Cronin","Future-Proofed Impactful Implementation","Matrix B2C Niches","ebert.prince@moen.info","36-7837047"
"60","Wyman, McDermott and Fadel","Synergistic Zerodefect Orchestration","Incubate Turn-Key Webservices","torphy.oda@west.net","44-7040610"
"61","Carter, Schamberger and Daugherty","Vision-Oriented Static Contingency","Extend Bleeding-Edge Architectures","clemens94@williamson.info","82-4914749"
"62","Keeling, Kessler and Prosacco","Implemented Nextgeneration Pricingstructure","Envisioneer Ubiquitous Infrastructures","ftillman@hayes.org","82-2391635"
"63","Steuber, Moore and Haag","Automated Fault-Tolerant Ability","Generate Bleeding-Edge Partnerships","crooks.margret@little.com","48-4240826"
"64","Bayer-Schulist","Cloned Well-Modulated Application","Empower Bleeding-Edge Bandwidth","dejah31@wehner.info","47-9118635"
"65","Hermiston, Doyle and Rolfson","Customizable Interactive Function","Harness Revolutionary Schemas","gisselle.walsh@russel.biz","39-8781126"
"66","Kautzer and Sons","Optimized Demand-Driven Structure","Recontextualize Frictionless Partnerships","jarvis71@fisher.com","91-6061731"
"67","Leannon, Friesen and Pfeffer","Assimilated Methodical Policy","Leverage Real-Time Applications","estrosin@murazik.info","84-7990051"
"68","Adams, VonRueden and Koelpin","Team-Oriented Logistical Adapter","Implement Global Experiences","leonard.aufderhar@roberts.org","22-4185092"
"69","Cronin, Douglas and Weber","Up-Sized Zeroadministration Hierarchy","Syndicate Best-Of-Breed Relationships","kunze.jamil@konopelski.org","38-4507240"
"70","Smitham, Ward and Marquardt","Advanced Real-Time Info-Mediaries","Seize Value-Added Functionalities","vpadberg@larkin.biz","76-9322377"
"71","Hills Inc","User-Friendly Client-Server Superstructure","Generate Turn-Key Deliverables","kterry@simonis.com","41-2324843"
"72","Gaylord, Hickle and Kiehn","Cross-Group Scalable Task-Force","Deliver E-Business Schemas","uhuels@labadie.biz","43-8444612"
"73","Frami, Mertz and Wiegand","Fundamental Coherent Alliance","Integrate Vertical Functionalities","bosco.shakira@armstrong.biz","24-4510331"
